project,sha,polluter_fullpath,cleaner_fullpath,victim_fullpath,md5,pv_result,pcv_result,can_copy_work,1st_patch_time,minimal_patch_time
OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_occam_data.py::test_occam_data_progress_bars,test/test_occam_data.py::test_occam_data_not_save_to_npy,79ced83bf5dcea51fa8a5ca29e1b3e41,passed,passed,,,
OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_occam_data.py::test_occam_data_save_load,test/test_occam_data.py::test_occam_data_not_save_to_npy,ce7022449f6253028159131b2bad4161,passed,passed,,,
OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_occam_data.py::test_occam_data_not_equal,test/test_occam_data.py::test_occam_data_progress_bars,37873c0731978f3198554bd7b721280f,passed,passed,,,
OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_fort5_to_xyz.py::test_convert_file_name,test/test_occam_data.py::test_occam_data_progress_bars,90774ae8105aa77e489b503b2cf73d7e,passed,passed,,,
OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_fort5_to_xyz.py::test_fort5_to_xyz_box,test/test_occam_data.py::test_occam_data_progress_bars,d0fc38b4e0899a9245d05646bd846038,passed,passed,,,
Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_mudobjects.py::TestDoorsExits::test_go_through_exit,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,b5fe668ed61762368f297b7c81e7f82d,passed,passed,,,
Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_mudobjects.py::TestDoorsExits::test_linked_door_pair,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,c2fded41d2c6bd1ba5d9233399c1adfc,passed,passed,,,
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_basic_get,tests/test_base.py::TestBase::test_model,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,cbdb52ab7bd4023aed1ccd8acd9dc77f,failed,passed,False,,
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_basic_get,tests/test_client.py::TestClient::test_atlas_client,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,d63e0101d3807a017ffdbdf73e10fd06,failed,passed,True,0.5005602389574051,1.667493686079979,"
client = Atlas('localhost', port=21000, username='admin', password='admin')
assert (client.base_url == 'http://localhost:21000')
assert ('entity_post' in dir(client))
","
client = Atlas('localhost', port=21000, username='admin', password='admin')
assert ('entity_post' in dir(client))
","
client = Atlas('localhost', port=21000, username='admin', password='admin')
"
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_fulltext_get,tests/test_base.py::TestBase::test_model,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,70c0cd8d9564c72d9afb0b42103a168d,failed,passed,False,,
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_fulltext_get,tests/test_client.py::TestClient::test_atlas_client,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,90375beea14f8d3f5ee293b948b00acb,failed,passed,True,0.5031700804829597,1.6866575255990028,"
client = Atlas('localhost', port=21000, username='admin', password='admin')
assert (client.base_url == 'http://localhost:21000')
assert ('entity_post' in dir(client))
","
client = Atlas('localhost', port=21000, username='admin', password='admin')
assert ('entity_post' in dir(client))
","
client = Atlas('localhost', port=21000, username='admin', password='admin')
"
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_dsl_get,tests/test_base.py::TestBase::test_model,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,b8f094063462a253935db2ef1e93e129,failed,passed,False,,
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_dsl_get,tests/test_client.py::TestClient::test_atlas_client,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,5856213307519b1ea58665fece91575d,failed,passed,True,0.5064495205879211,1.6848960295319557,"
client = Atlas('localhost', port=21000, username='admin', password='admin')
assert (client.base_url == 'http://localhost:21000')
assert ('entity_post' in dir(client))
","
client = Atlas('localhost', port=21000, username='admin', password='admin')
assert ('entity_post' in dir(client))
","
client = Atlas('localhost', port=21000, username='admin', password='admin')
"
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_basic_post,tests/test_base.py::TestBase::test_model,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,99cc376b3d8e206fbf1329e2c35f34cc,failed,passed,False,,
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_basic_post,tests/test_client.py::TestClient::test_atlas_client,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,9be7f89f1057ada3a3f5636d9a7ca6ed,failed,passed,True,0.5060365274548531,1.6813842877745628,"
client = Atlas('localhost', port=21000, username='admin', password='admin')
assert (client.base_url == 'http://localhost:21000')
assert ('entity_post' in dir(client))
","
client = Atlas('localhost', port=21000, username='admin', password='admin')
assert ('entity_post' in dir(client))
","
client = Atlas('localhost', port=21000, username='admin', password='admin')
"
aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,aud/test_aud.py::test_afx_2,aud/test_aud.py::test_afx_3,aud/test_aud.py::test_export,69cd0fdcd81d5bef3b6cd1538223684b,passed,passed,,,
aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,aud/test_aud.py::test_cleanup,aud/test_aud.py::test_init,aud/test_aud.py::test_afx_2,9fea13a47ad8e3c7ef010b59a92f6756,failed,passed,False,,
aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,aud/test_aud.py::test_cleanup,aud/test_aud.py::test_init,aud/test_aud.py::test_afx_3,e35ee6397c6559c9f58a50828f5c6148,failed,passed,False,,
aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,aud/test_aud.py::test_afx_2,aud/test_aud.py::test_afx_3,aud/test_aud.py::test_export,69cd0fdcd81d5bef3b6cd1538223684b,failed,failed,,,
aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,aud/test_aud.py::test_init,aud/test_aud.py::test_afx_3,aud/test_aud.py::test_export,cf72d9a10074810c13fc5379e1ae09be,failed,passed,False,,
cityseer,2d71d5dc962054f6cd1e87b5a61b43e8f4ddbec0,tests/util/test_mock.py::test_mock_graph,tests/util/test_mock.py::test_mock_numerical_data,tests/util/test_mock.py::test_mock_categorical_data,bfc68e30ce2df56eca5a85b012afacf8,passed,passed,,,
cityseer,2d71d5dc962054f6cd1e87b5a61b43e8f4ddbec0,tests/util/test_mock.py::test_mock_graph,tests/util/test_mock.py::test_mock_species_data,tests/util/test_mock.py::test_mock_categorical_data,7cd383ed6b29c1bc5511fb0ca7a36c74,passed,passed,,,
cityseer,2d71d5dc962054f6cd1e87b5a61b43e8f4ddbec0,tests/util/test_mock.py::test_mock_species_data,tests/util/test_mock.py::test_mock_data_dict,tests/util/test_mock.py::test_mock_categorical_data,91f867516db32ac563ba65bdad25e2cd,passed,passed,,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_lock_an_already_locked_key,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestSQLAlchemyStorage::test_is_initialized,e00ff609c4a6d44411047fd3ef58bfa7,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_lock_an_already_locked_key,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestSQLAlchemyStorage::test_is_initialized,37da922475ccba182abd9b4857939bae,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestTypeSystem::test_put_key_with_missing_oneof_value,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestSQLAlchemyStorage::test_is_initialized,c20ffe073b01b68dca0f90a7ee24ada8,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestTypeSystem::test_put_key_with_missing_oneof_value,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestSQLAlchemyStorage::test_is_initialized,dd66df7825c588d4cd863216b6213409,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_load,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestSQLAlchemyStorage::test_is_initialized,1d7ff767503052b21401ecbd099fd641,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_load,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestSQLAlchemyStorage::test_is_initialized,446649fc68e67442f6e05c93d40c16c9,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_put,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestSQLAlchemyStorage::test_is_initialized,3abfbbfb9f15b72b8774c259cd78796b,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_put,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestSQLAlchemyStorage::test_is_initialized,58e3330722baf7e52bd686f80d707ea1,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_put_add_to_existing_key_overwrite_value,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestSQLAlchemyStorage::test_is_initialized,6d77309dcb174360358f4e692a7c7c56,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_put_add_to_existing_key_overwrite_value,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestSQLAlchemyStorage::test_is_initialized,20a6552cb568113aff580a24ade6b908,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_lock_an_already_locked_key,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestTinyDBStorage::test_init_stash_in_current_dir,603b418afef0def279a3ef6916f3a5ad,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_lock_an_already_locked_key,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestTinyDBStorage::test_init_stash_in_current_dir,b19f705df0c7cb3830e8ab8490b69022,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestTypeSystem::test_put_key_with_missing_oneof_value,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestTinyDBStorage::test_init_stash_in_current_dir,40949876246783cb012dd69a9c0f07f2,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestTypeSystem::test_put_key_with_missing_oneof_value,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestTinyDBStorage::test_init_stash_in_current_dir,d5ce8e282d7ed2cd42918babf4b577ee,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_load,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestTinyDBStorage::test_init_stash_in_current_dir,4c4827fb61284267499fb642c2823f7a,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_load,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestTinyDBStorage::test_init_stash_in_current_dir,28bffbee55e59951124729b54c5a2ca3,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_put,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestTinyDBStorage::test_init_stash_in_current_dir,701319747b7f83ec6d0e0291e9264f5f,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_put,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestTinyDBStorage::test_init_stash_in_current_dir,69f6ee1b2154826dce0cf0a6feffdc7e,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_put_add_to_existing_key_overwrite_value,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestTinyDBStorage::test_init_stash_in_current_dir,94425d97adf4825fab47f3bedf453a70,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_put_add_to_existing_key_overwrite_value,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestTinyDBStorage::test_init_stash_in_current_dir,bc782d8fe260ef922255070a2f47a980,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_lock_an_already_locked_key,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestTinyDBStorage::test_is_initialized,846754a7f7e1b3add57c27d63894ca1d,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_lock_an_already_locked_key,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestTinyDBStorage::test_is_initialized,f5b05498fc0e8b60b4ff8df3ec86e97a,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestTypeSystem::test_put_key_with_missing_oneof_value,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestTinyDBStorage::test_is_initialized,ee2fe848c785b8cfa022fd9684d2e2fb,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestTypeSystem::test_put_key_with_missing_oneof_value,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestTinyDBStorage::test_is_initialized,ec283f3eb4f0eeed2b0c5b85b125c2cc,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_load,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestTinyDBStorage::test_is_initialized,37de90e2bdd9428e40643781534d4b40,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_load,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestTinyDBStorage::test_is_initialized,81cbc7fde9834ec98bf6bcd3623328d2,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_put,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestTinyDBStorage::test_is_initialized,5675d76922766fe48e755a3c5081542f,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_put,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestTinyDBStorage::test_is_initialized,b4fb103231f8f7bbfee740d0bf7161ea,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_put_add_to_existing_key_overwrite_value,tests/test_ghost.py::TestCLI::test_delete_bad_passphrase,tests/test_ghost.py::TestTinyDBStorage::test_is_initialized,65d9da8b84197e185f57f2e8f810acbd,failed,passed,False,,
clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,tests/test_ghost.py::TestStash::test_put_add_to_existing_key_overwrite_value,tests/test_ghost.py::TestCLI::test_delete_key,tests/test_ghost.py::TestTinyDBStorage::test_is_initialized,5390af45af2e002abf212d5ee60e9342,failed,passed,False,,
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_param_required_error,tests/test_api_client.py::TestApiClient::test_internal_server_error,tests/test_api_client.py::TestApiClient::test_authentication_error,cb8618933575b8a5f6eb7e9eec8c8cce,failed,passed,True,0.421179823577404,1.0774151310324669,"
mock.MagicMock.ok = PropertyMock(return_value=False)
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=500)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=500)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_param_required_error,tests/test_api_client.py::TestApiClient::test_rate_limit_exceeded_error,tests/test_api_client.py::TestApiClient::test_authentication_error,5fecd8558b3596867b7425ce96104b6d,failed,passed,True,0.42294473946094513,1.0784589648246765,"
mock.MagicMock.ok = PropertyMock(return_value=False)
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=429)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=429)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_validation_error,tests/test_api_client.py::TestApiClient::test_internal_server_error,tests/test_api_client.py::TestApiClient::test_authentication_error,e0f88e16e04db7059a6fa3a2ad49041b,failed,passed,True,0.42181988060474396,1.0806555300951004,"
mock.MagicMock.ok = PropertyMock(return_value=False)
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=500)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=500)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_validation_error,tests/test_api_client.py::TestApiClient::test_rate_limit_exceeded_error,tests/test_api_client.py::TestApiClient::test_authentication_error,96263ca9402b539f8bb0641d91ae4a3b,failed,passed,True,0.4227627217769623,1.0751499757170677,"
mock.MagicMock.ok = PropertyMock(return_value=False)
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=429)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=429)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_param_required_error,tests/test_api_client.py::TestApiClient::test_internal_server_error,tests/test_api_client.py::TestApiClient::test_invalid_request_error,c81e58f550472bdd431774c342cca8a7,failed,passed,True,0.42688295990228653,1.0856464579701424,"
mock.MagicMock.ok = PropertyMock(return_value=False)
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=500)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=500)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_param_required_error,tests/test_api_client.py::TestApiClient::test_rate_limit_exceeded_error,tests/test_api_client.py::TestApiClient::test_invalid_request_error,0c1ca92ad5ba92383456a177ee551422,failed,passed,True,0.4213940426707268,1.0790013819932938,"
mock.MagicMock.ok = PropertyMock(return_value=False)
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=429)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=429)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_validation_error,tests/test_api_client.py::TestApiClient::test_internal_server_error,tests/test_api_client.py::TestApiClient::test_invalid_request_error,89529c68090946b60e8905afdd27d6f1,failed,passed,True,0.4214763790369034,1.0765241160988808,"
mock.MagicMock.ok = PropertyMock(return_value=False)
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=500)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=500)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_validation_error,tests/test_api_client.py::TestApiClient::test_rate_limit_exceeded_error,tests/test_api_client.py::TestApiClient::test_invalid_request_error,68b05bbd14cbe7d69ab7d8b7195f5e05,failed,passed,True,0.422384649515152,1.0761423483490944,"
mock.MagicMock.ok = PropertyMock(return_value=False)
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=429)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=429)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_param_required_error,tests/test_api_client.py::TestApiClient::test_internal_server_error,tests/test_api_client.py::TestApiClient::test_resource_not_found_error,014abb47a9413c0f979d380c4e207b40,failed,passed,True,0.4286065921187401,1.0860933139920235,"
mock.MagicMock.ok = PropertyMock(return_value=False)
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=500)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=500)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_param_required_error,tests/test_api_client.py::TestApiClient::test_rate_limit_exceeded_error,tests/test_api_client.py::TestApiClient::test_resource_not_found_error,8daf49a9b4260d85695d6667d31880f7,failed,passed,True,0.4233577325940132,1.078373335301876,"
mock.MagicMock.ok = PropertyMock(return_value=False)
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=429)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
mock.MagicMock.status_code = PropertyMock(return_value=429)
","
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
